Table S2. Movement Data for GPS-Instrumented Stones on Racetrack Playa,,,,,,,,,,,,,,,,
Death Valley National Park,,,,,,,,,,,,,,,,
Stone Name: EOS; Location Designation: A3;  Mass: 16.6 Kg,,,,,,Stone Name: MAIA; Location Designation: A6;  Mass: 8.2 Kg,,,,,,Stone Name: FREYA; Location Designation: A11;  Mass: 15.4 Kg,,,,
"""Date""","""Time(UTC)""","""Lat(deg)""","""Long(deg)""","""Velocity(m/min)""",,"""Date"""," ""Time (UTC)"""," ""Lat (deg)"""," ""Long (deg)""",Velocity (m/min),,Date," ""Time (UTC)"""," ""Lat (deg)"""," ""Long (deg)""",Velocity (m/min)
12/4/13,19:06:56,36.673454,-117.5529726,4.653178,,12/4/13,19:06:50,36.6741784,-117.5545123,4.154022,,12/20/2013,19:39:01,36.6758454,-117.5554373,2.75077
12/4/13,19:06:57,36.6734547,-117.5529722,4.66414,,12/4/13,19:06:51,36.6741791,-117.5545118,4.189595,,12/20/2013,19:39:02,36.6758457,-117.5554371,2.765022
12/4/13,19:06:58,36.6734554,-117.5529718,4.650417,,12/4/13,19:06:52,36.6741797,-117.5545114,4.239674,,12/20/2013,19:39:03,36.675846,-117.5554369,2.765517
12/4/13,19:06:59,36.6734561,-117.5529715,4.675174,,12/4/13,19:06:53,36.6741804,-117.5545109,4.296345,,12/20/2013,19:39:04,36.6758463,-117.5554367,2.766373
12/4/13,19:07:00,36.6734569,-117.5529711,4.66414,,12/4/13,19:06:54,36.6741811,-117.5545104,4.325397,,12/20/2013,19:39:05,36.6758466,-117.5554365,2.745258
12/4/13,19:07:01,36.6734575,-117.5529708,4.684394,,12/4/13,19:06:55,36.6741818,-117.55451,4.367537,,12/20/2013,19:39:06,36.6758469,-117.5554363,2.717507
12/4/13,19:07:02,36.6734583,-117.5529704,4.709337,,12/4/13,19:06:56,36.6741824,-117.5545095,4.424211,,12/20/2013,19:39:07,36.6758472,-117.5554361,2.681939
12/4/13,19:07:03,36.673459,-117.55297,4.754678,,12/4/13,19:06:57,36.6741831,-117.554509,4.4533,,12/20/2013,19:39:08,36.6758475,-117.5554359,2.654245
12/4/13,19:07:04,36.6734597,-117.5529697,4.800159,,12/4/13,19:06:58,36.6741838,-117.5545086,4.509977,,12/20/2013,19:39:09,36.6758478,-117.5554357,2.641208
12/4/13,19:07:05,36.6734604,-117.5529693,4.836046,,12/4/13,19:06:59,36.6741845,-117.5545081,4.545598,,12/20/2013,19:39:10,36.6758481,-117.5554355,2.620162
12/4/13,19:07:06,36.6734612,-117.552969,4.820522,,12/4/13,19:07:00,36.6741852,-117.5545077,4.587713,,12/20/2013,19:39:11,36.6758484,-117.5554353,2.578087
12/4/13,19:07:07,36.6734618,-117.5529687,4.85641,,12/4/13,19:07:01,36.6741859,-117.5545072,4.62984,,12/20/2013,19:39:12,36.6758486,-117.5554352,2.571699
12/4/13,19:07:08,36.6734626,-117.5529683,4.85641,,12/4/13,19:07:02,36.6741866,-117.5545067,4.673531,,12/20/2013,19:39:13,36.675849,-117.555435,2.565364
12/4/13,19:07:09,36.6734633,-117.5529679,4.876782,,12/4/13,19:07:03,36.6741873,-117.5545063,4.709165,,12/20/2013,19:39:14,36.6758493,-117.5554348,2.517143
12/4/13,19:07:10,36.673464,-117.5529675,4.861275,,12/4/13,19:07:04,36.674188,-117.5545059,4.744803,,12/20/2013,19:39:15,36.6758495,-117.5554347,2.510957
12/4/13,19:07:11,36.6734646,-117.5529672,4.876782,,12/4/13,19:07:05,36.6741887,-117.5545054,4.786889,,12/20/2013,19:39:16,36.6758498,-117.5554345,2.475228
12/4/13,19:07:12,36.6734653,-117.5529669,4.928184,,12/4/13,19:07:06,36.6741894,-117.5545049,4.816089,,12/20/2013,19:39:17,36.6758501,-117.5554343,2.460464
12/4/13,19:07:13,36.6734661,-117.5529665,4.928184,,12/4/13,19:07:07,36.6741901,-117.5545045,4.851738,,12/20/2013,19:39:18,36.6758504,-117.5554341,2.454282
12/4/13,19:07:14,36.6734668,-117.5529661,4.933052,,12/4/13,19:07:08,36.6741908,-117.554504,4.88739,,12/20/2013,19:39:19,36.6758507,-117.555434,2.439505
12/4/13,19:07:15,36.6734674,-117.5529658,4.953442,,12/4/13,19:07:09,36.6741915,-117.5545036,4.931328,,12/20/2013,19:39:20,36.675851,-117.5554338,2.424751
12/4/13,19:07:16,36.6734682,-117.5529654,4.96894,,12/4/13,19:07:10,36.6741923,-117.5545032,4.952338,,12/20/2013,19:39:21,36.6758512,-117.5554336,2.410023
12/4/13,19:07:17,36.6734689,-117.5529651,4.963304,,12/4/13,19:07:11,36.674193,-117.5545027,4.98801,,12/20/2013,19:39:22,36.6758515,-117.5554334,2.403786
